Creation policy of v1.1 [Simple version] ,,,,
"The important thing is to respect the Constitution of the Constitutional Convention, not to make any essential changes to it, and to focus only on simplifying it. The aim is not to deny the Constitution of the Constitutional Convention, but to strengthen it by simplifying it.",,,,
1. Carefully correct duplicated and redundant expressions to make them simple. Carefully confirm that there are no changes to the intended content or effect from the version approved by the Constitutional Convention.,,,,
"2. We remove language that we believe will have no practical effect if removed, and we are careful to make sure that no one is harmed by this removal.",,,,
3. No new ideas added. v1.1 will focus on simplification.,,,,
4. We will be ignoring Guardrails and TENET in order to focus on submitting v1.1 for GA in January or February.,,,,
https://docs.google.com/document/d/1o9B3JsYAdTF1ycEkRcAWm_i095Ns7CBd_fxJiU6G0iY/edit?tab=t.0#heading=h.4h2z8okq9vgc,,,,
v1.0,v1.1,,Diff & Reason,
TENET 2 The cost of transactions on the Cardano Blockchain shall be predictable and not unreasonable.,TENET 2 The cost of transactions on the Cardano Blockchain shall be predictable and not unreasonable.,TRUE,-,OK
TENET 3 Anyone desiring to develop and deploy applications on the Cardano Blockchain shall not unreasonably be prevented from developing and deploying such applications as intended.,TENET 3 Anyone desiring to develop and deploy applications on the Cardano Blockchain shall not unreasonably be prevented from developing and deploying such applications as intended.,TRUE,-,OK
"TENET 4 Contributions by the Cardano Community on the Cardano Blockchain shall be recognized, recorded and assessed fairly through reward sharing with SPOs, potential compensation to DReps and CC members, and appropriate tokenomics.","TENET 4 Contributions by the Cardano Community on the Cardano Blockchain shall be recognized, recorded and assessed fairly through reward sharing with SPOs, potential compensation to DReps and CC members, and appropriate tokenomics.",TRUE,-,OK
TENET 5 The Cardano Blockchain shall not lock in an ada owner's value or data without the owner's consent.,TENET 5 The Cardano Blockchain shall not lock in an ada owner's value or data without the owner's consent.,TRUE,-,OK
TENET 6 The Cardano Blockchain shall not unreasonably impede interoperability.,TENET 6 The Cardano Blockchain shall not unreasonably impede interoperability.,TRUE,-,OK
TENET 7 The Cardano Blockchain shall preserve in a safe manner any value and information stored on the Cardano Blockchain.,TENET 7 The Cardano Blockchain shall preserve in a safe manner any value and information stored on the Cardano Blockchain.,TRUE,-,OK
TENET 8 The Cardano Blockchain shall not unreasonably spend resources.,TENET 8 The Cardano Blockchain shall not unreasonably spend resources.,TRUE,-,OK
"TENET 9 All users of the Cardano Blockchain shall be treated fairly and impartially, taking into account the collective desires of the Cardano Blockchain Community, consistent with the long-term sustainability and viability of the Cardano Blockchain.","TENET 9 All users of the Cardano Blockchain shall be treated fairly and impartially, taking into account the collective desires of the Cardano Blockchain Community, consistent with the long-term sustainability and viability of the Cardano Blockchain.",TRUE,-,OK
"TENET 10 Financial stability shall be maintained and the total supply of ada shall not exceed 45,000,000,000 (45,000,000,000,000,000 lovelace).","TENET 10 Financial stability shall be maintained and the total supply of ada shall not exceed 45,000,000,000 (45,000,000,000,000,000 lovelace).",TRUE,-,OK
Section 2,Section 2,TRUE,-,OK
The Cardano Blockchain shall operate in accordance with the Guardrails for the Cardano Blockchain as set forth in the Cardano Blockchain Guardrails Appendix to this Constitution. The Cardano Community may from time to time digitally codify certain Guardrails such that the Guardrails are directly programmed and implemented on the Cardano Blockchain using on-chain Guardrails Scripts or built-in ledger rules.,The Cardano Blockchain shall operate in accordance with the Guardrails for the Cardano Blockchain as set forth in the Cardano Blockchain Guardrails Appendix to this Constitution. The Cardano Community may from time to time digitally codify certain Guardrails such that the Guardrails are directly programmed and implemented on the Cardano Blockchain using on-chain Guardrails Scripts or built-in ledger rules.,TRUE,-,OK
"In the event there are inconsistencies between a Guardrail as set forth in the Cardano Blockchain Guardrails Appendix and any such Guardrail that has been programmed and implemented on the Cardano Blockchain, the version of such Guardrail that has been deployed directly on the Cardano Blockchain shall prevail unless and until replaced or revised pursuant to an on-chain governance action. The Constitutional Committee shall seek to reconcile such inconsistencies through the encouragement of an appropriate on-chain governance action.","In the event there are inconsistencies between a Guardrail as set forth in the Cardano Blockchain Guardrails Appendix and any such Guardrail that has been programmed and implemented on the Cardano Blockchain, the version of such Guardrail that has been deployed directly on the Cardano Blockchain shall prevail unless and until replaced or revised pursuant to an on-chain governance action. The Constitutional Committee shall seek to reconcile such inconsistencies through the encouragement of an appropriate on-chain governance action.",TRUE,-,OK
ARTICLE II. THE CARDANO BLOCKCHAIN COMMUNITY,ARTICLE II. THE CARDANO BLOCKCHAIN COMMUNITY,TRUE,-,OK
Section 1,Section 1,TRUE,-,OK
"No formal membership shall be required to use, participate in and benefit from the Cardano Blockchain. Instead, all owners of ada, all developers of, all those building on, and all those otherwise supporting, maintaining or using the Cardano Blockchain are considered to be participants in the Cardano Community and are therefore recognized as beneficiaries of the Cardano Blockchain ecosystem. All participants in the Cardano Community are accordingly beneficiaries of this Constitution, entitled to its rights, privileges and protections and, as such, are expected to support and uphold this Constitution.","No formal membership shall be required to use, participate in and benefit from the Cardano Blockchain. Instead, all owners of ada, all developers of, all those building on, and all those otherwise supporting, maintaining or using the Cardano Blockchain are considered to be participants in the Cardano Community and are therefore recognized as beneficiaries of the Cardano Blockchain ecosystem. All participants in the Cardano Community are accordingly beneficiaries of this Constitution, entitled to its rights, privileges and protections and, as such, are expected to support and uphold this Constitution.",TRUE,-,OK
Section 2,Section 2,TRUE,-,OK
"Participants in the Cardano Community who own ada are entitled to access and participate in the on-chain decision-making processes of the Cardano Blockchain ecosystem, including voting and taking part in on-chain governance actions regarding the Cardano Blockchain.","Participants in the Cardano Community who own ada are entitled to access and participate in the on-chain decision-making processes of the Cardano Blockchain ecosystem, including voting and taking part in on-chain governance actions regarding the Cardano Blockchain.",TRUE,-,OK
Section 3,Section 3,TRUE,-,OK
"The Cardano Community has a responsibility to maintain the integrity of the Cardano Blockchain ecosystem by following this Constitution, operating the Cardano Blockchain, participating in Cardano Blockchain governance activities, and resolving disputes in a fair and transparent manner.","The Cardano Community has a responsibility to maintain the integrity of the Cardano Blockchain ecosystem by following this Constitution, operating the Cardano Blockchain, participating in Cardano Blockchain governance activities, and resolving disputes in a fair and transparent manner.",TRUE,-,OK
Section 4,-,FALSE,"This is a right that goes without saying, so there is no problem with deleting it.",OK
"The Cardano Community is entitled and encouraged through the provisions of this Constitution to collaborate in developing, maintaining and building applications for the Cardano Blockchain, and to form temporary and permanent organizations, associations and other entities as the Cardano Community deems desirable or appropriate in support of the Cardano Blockchain ecosystem.",-,FALSE,"This is a right that goes without saying, so there is no problem with deleting it.",OK
ARTICLE III. PARTICIPATORY AND DECENTRALIZED GOVERNANCE,ARTICLE III. PARTICIPATORY AND DECENTRALIZED GOVERNANCE,TRUE,,OK
Section 1,Section 1,TRUE,,OK
"The Cardano Blockchain shall be governed by a decentralized, on-chain governance model, utilizing, to the extent possible and beneficial, smart contracts and other blockchain based tools to facilitate decision-making and ensure transparency. On-chain voting for governance actions shall follow the process outlined in this Constitution, including the Cardano Blockchain Guardrails Appendix. On-chain governance actions shall be effected through a collective decision-making process, with specific consensus threshold requirements, as required by the Cardano Blockchain Guardrails.","The Cardano Blockchain shall be governed by a decentralized, on-chain governance model, utilizing, to the extent possible and beneficial, smart contracts and other blockchain based tools to facilitate decision-making and ensure transparency. On-chain voting for governance actions shall follow the process outlined in this Constitution, including the Cardano Blockchain Guardrails Appendix. On-chain governance actions shall be effected through a collective decision-making process, with specific consensus threshold requirements, as required by the Cardano Blockchain Guardrails.",TRUE,,OK
Section 2,Section 2,TRUE,,OK
"Three independent governance bodies shall participate in voting for on-chain governance actions to provide checks and balances for the Cardano Blockchain, consisting of Delegated Representatives (DReps), Stake Pool Operators (SPOs) and the Constitutional Committee (CC).","Three independent governance bodies shall participate in voting for on-chain governance actions to provide checks and balances for the Cardano Blockchain, consisting of Delegated Representatives (DReps), Stake Pool Operators (SPOs) and the Constitutional Committee (CC).Members who serve in more than one of these three roles shall publicly disclose their participation in on-chain governance activities in more than one capacity before voting on any on-chain governance activity. However, public disclosure is not required for members who are both Constitution Committee members and acting as SPOs but not as DReps.",FALSE,The provisions of ARTICLE VII.Section 9 and ARTICLE VI Section 4 will be consolidated and set forth in ARTICLE III Section 2.,OK
Section 3,Section 3,TRUE,,OK
"All owners of ada shall have the right to vote in on-chain governance decision-making processes, as provided for in this Constitution and the Cardano Blockchain Guardrails Appendix. All owners of ada shall have the right to propose changes to the governance structure of the Cardano Blockchain ecosystem in accordance with the Guardrails. Owners of ada who use third-party custodians or other designees to hold their ada, may authorize or may withhold authorization for, such third-parties to vote on their behalf.","Owners of ada who use third-party custodians or other designees to hold their ada, may authorize, or may withhold authorization for, such third-parties to delegate the voting rights of the ada owner to registered DReps on the owner's behalf or to vote on their behalf.",FALSE,"1)“All owners of ada shall have the right to vote in on-chain governance decision-making processes, as provided for in this Constitution and the Cardano Blockchain Guardrails Appendix.” overlaps with ARTICLE IISection 2

2)All owners of ada shall have the right to propose changes to the governance structure of the Cardano Blockchain ecosystem in accordance with the Guardrails. overlaps with ARTICLE VIII.

3)It would be simpler to combine the following:
ARTICLE III Section 3
ARTICLE V Section 1 ""Owners of ada who use third-party custodians or other designees to hold their ada, may authorize, or may withhold authorization for, such third-parties to delegate the voting rights of the ada owner to registered DReps on the owner's behalf.""",OK
Section 4,-,FALSE,,OK
"A special form of on-chain governance action, an ""Info"" action, exists to allow the Cardano Community to propose potential future on-chain governance actions and to allow community sentiment to be gauged without committing to any on-chain change to the Cardano Blockchain. Such ""Info"" actions have no on-chain effect other than to record such ""Info"" actions on the Cardano Blockchain. In accordance with Article VII Section 4, ""Info"" actions shall also be used in connection with proposed Cardano Blockchain ecosystem budgets and Cardano Blockchain treasury withdrawals.",-,FALSE,"""In accordance with Article VII Section 4, """"Info"""" actions shall also be used in connection with proposed Cardano Blockchain ecosystem budgets and Cardano Blockchain treasury withdrawals."" overlaps with Article VII Section 4.

""A special form of on-chain governance action, an """"Info"""" action, exists to allow the Cardano Community to propose potential future on-chain governance actions and to allow community sentiment to be gauged without committing to any on-chain change to the Cardano Blockchain. Such """"Info"""" actions have no on-chain effect other than to record such """"Info"""" actions on the Cardano Blockchain."" This merely explains the content of information actions, and there is no benefit to explicitly stating this in the Constitution.",OK
Section 5,Section 4,FALSE,,OK
"In order to promote transparency in the process of on-chain governance, prior to being recorded or enacted on-chain, all proposed governance actions are expected to follow a standardized and legible format including a URL and hash of all documented off-chain content to the Cardano Blockchain. Sufficient rationale shall be provided to justify the requested change to the Cardano Blockchain. The rationale shall include, at a minimum, a title, abstract, reason for the proposal, and relevant supporting materials.","In order to promote transparency in the process of on-chain governance, prior to being recorded or enacted on-chain, all proposed governance actions are expected to follow a standardized and legible format including a URL and hash of all documented off-chain content to the Cardano Blockchain. Sufficient rationale shall be provided to justify the requested change to the Cardano Blockchain. The rationale shall include, at a minimum, a title, abstract, reason for the proposal, and relevant supporting materials.",TRUE,,OK
The content of every on-chain governance action must be identical to the final off-chain version of the proposed action.,The content of every on-chain governance action must be identical to the final off-chain version of the proposed action.,TRUE,,OK
"""Hard Fork Initiation"" and ""Protocol Parameter Change"" governance actions shall undergo sufficient technical review and scrutiny as mandated by the Guardrails to ensure that the governance action does not endanger the security, functionality, performance or long-term sustainability of the Cardano Blockchain. On-chain governance actions should address their expected impact on the Cardano Blockchain ecosystem.","""Hard Fork Initiation"" and ""Protocol Parameter Change"" governance actions shall undergo sufficient technical review and scrutiny as mandated by the Guardrails to ensure that the governance action does not endanger the security, functionality, performance or long-term sustainability of the Cardano Blockchain. On-chain governance actions should address their expected impact on the Cardano Blockchain ecosystem.",TRUE,,OK
"All owners of ada shall have the right to ensure that the process for participating in, submitting and voting on on-chain governance actions is open and transparent and is protected from undue influence and manipulation.","All owners of ada shall have the right to ensure that the process for participating in, submitting and voting on on-chain governance actions is open and transparent and is protected from undue influence and manipulation.",TRUE,,OK
Section 6,Section 5,FALSE,,OK
"The Cardano Community is expected to support the creation, maintenance and ongoing administration of off-chain governance processes as may be necessary to give effect to this Constitution and to ensure that there is awareness of and an opportunity to debate and shape all future governance actions for the Cardano Blockchain.","The Cardano Community shall establish and make public a process from time to time for election of members of the Constitutional Committee consistent with the requirements of the Guardrails. The Cardano Community is expected to support the creation, maintenance and ongoing administration of off-chain governance processes as may be necessary to give effect to this Constitution and to ensure that there is awareness of and an opportunity to debate and shape all future governance actions for the Cardano Blockchain.This includes the development and ongoing maintenance of tools to help the Constitutional Committee do its job, and to assist ADA holders in appropriately delegating to the DRep in accordance with the Code of Conduct.",FALSE,"ARTICLE V Section 4, ARTICLE VII Section 3, and Section 7, which state our expectations of the Cardano community, will be consolidated into ARTICLE III Section 6.",OK
ARTICLE IV. THE CARDANO BLOCKCHAIN ECOSYSTEM BUDGET,ARTICLE IV. THE CARDANO BLOCKCHAIN ECOSYSTEM BUDGET,TRUE,,OK
Section 1,Section 1,TRUE,,OK
"Any participant in the Cardano Community may propose a Cardano Blockchain ecosystem budget at any time. The Cardano Community is expected to periodically propose one or more budgets for the ongoing operation, maintenance and future development of the Cardano Blockchain ecosystem and for covering other costs related to the implementation, administration and maintenance of the decentralized, on-chain governance processes provided for in this Constitution. The Cardano Community may propose one aggregate budget or multiple budgets for the Cardano Blockchain ecosystem. Such budgets are expected to cover not less than a period of 73 epochs (approximately one calendar year) but nothing shall prevent the Cardano Community from proposing budgets for shorter or longer time periods. All owners of ada are expected to periodically approve one or more Cardano Blockchain ecosystem budgets through an on-chain ""Info"" action. As provided in Section 3 of this Article IV, withdrawals may be made from the Cardano Blockchain treasury as necessary from time to time to give effect to the Cardano Blockchain ecosystem budget or budgets then in effect. Existing budgets may be amended following the same process as provided in this Section 1.","Any participant in the Cardano Community may propose a Cardano Blockchain ecosystem budget at any time. The Cardano Community is expected to periodically propose one or more budgets for the ongoing operation, maintenance and future development of the Cardano Blockchain ecosystem and for covering other costs related to the implementation, administration and maintenance of the decentralized, on-chain governance processes provided for in this Constitution. The Cardano Community may propose one aggregate budget or multiple budgets for the Cardano Blockchain ecosystem. Such budgets are expected to cover not less than a period of 73 epochs (approximately one calendar year) but nothing shall prevent the Cardano Community from proposing budgets for shorter or longer time periods. All owners of ada are expected to periodically approve one or more Cardano Blockchain ecosystem budgets through an on-chain ""Info"" action. As provided in Section 3 of this Article IV, withdrawals may be made from the Cardano Blockchain treasury as necessary from time to time to give effect to the Cardano Blockchain ecosystem budget or budgets then in effect. Existing budgets may be amended following the same process as provided in this Section 1.",TRUE,,OK
Section 2,Section 2,TRUE,,OK
"Development of Cardano Blockchain ecosystem budgets and the administration of such budgets shall utilize, to the extent possible and beneficial, smart contracts and other blockchain based tools to facilitate decision-making and ensure transparency. Cardano Blockchain budgets shall specify a process for overseeing use of funds from Cardano Blockchain treasury withdrawals including designating one or more administrators who shall be responsible for such oversight.","Development of Cardano Blockchain ecosystem budgets and the administration of such budgets shall utilize, to the extent possible and beneficial, smart contracts and other blockchain based tools to facilitate decision-making and ensure transparency. Cardano Blockchain budgets shall specify a process for overseeing use of funds from Cardano Blockchain treasury withdrawals including designating one or more administrators who shall be responsible for such oversight.",TRUE,,OK
Section 3,Section 3,TRUE,,OK
"Withdrawals from the Cardano Blockchain treasury that would cause the Cardano Blockchain treasury balance to violate the then applicable net change limit shall not be permitted. No withdrawals from the Cardano Blockchain treasury shall be permitted unless such withdrawals have been authorized and are being made pursuant to a budget for the Cardano Blockchain that is then in effect as required by the Cardano Blockchain Guardrails Appendix, and which has not been determined by the Constitutional Committee to be unconstitutional.","Withdrawals from the Cardano Blockchain treasury that would cause the Cardano Blockchain treasury balance to violate the then applicable net change limit shall not be permitted. No withdrawals from the Cardano Blockchain treasury shall be permitted unless such withdrawals have been authorized and are being made pursuant to a budget for the Cardano Blockchain that is then in effect as required by the Cardano Blockchain Guardrails Appendix, and which has not been determined by the Constitutional Committee to be unconstitutional.",TRUE,,OK
Section 4,Section 4,TRUE,,OK
Any governance action requesting ada from the Cardano Blockchain treasury shall require an allocation of ada as a part of such funding request to cover the cost of periodic independent audits and the implementation of oversight metrics as to the use of such ada. Contractual obligations governing the use of ada received from the Cardano Blockchain treasury pursuant to a Cardano Blockchain ecosystem budget shall include dispute resolution provisions.,Any governance action requesting ada from the Cardano Blockchain treasury shall require an allocation of ada as a part of such funding request to cover the cost of periodic independent audits and the implementation of oversight metrics as to the use of such ada. Contractual obligations governing the use of ada received from the Cardano Blockchain treasury pursuant to a Cardano Blockchain ecosystem budget shall include dispute resolution provisions.,TRUE,,OK
Section 5,Section 5,TRUE,,OK
"Any ada received from a Cardano Blockchain treasury withdrawal, so long as such ada is being held directly or indirectly by an administrator prior to further disbursement, must be kept in one or more separate accounts that can be audited by the Cardano Community, and such accounts shall not be delegated to an SPO but must be delegated to the predefined auto abstain voting option.","Any ada received from a Cardano Blockchain treasury withdrawal, so long as such ada is being held directly or indirectly by an administrator prior to further disbursement, must be kept in one or more separate accounts that can be audited by the Cardano Community, and such accounts shall not be delegated to an SPO but must be delegated to the predefined auto abstain voting option.",TRUE,,OK
ARTICLE V. DELEGATED REPRESENTATIVES,ARTICLE V. DELEGATED REPRESENTATIVES,TRUE,,OK
Section 1,-,FALSE,,OK
"In order to participate in governance actions, owners of ada may register as DReps and directly vote on such governance actions or may delegate their voting rights to other registered DReps who shall vote on their behalf.",-,FALSE,"It is merely an explanation of DRep, and there is no merit in including it. (If such an explanation were necessary for some reason, it should be included in the SPO Article, but it is not there.)",OK
Section 2,-,FALSE,,OK
"Any owner of ada shall have the option to register as a DRep. Owners of ada shall be allowed to delegate their voting stake to one or more registered DReps, including themselves. DReps may be individuals or coordinated groups. Owners of ada who use third-party custodians or other designees to hold their ada, may authorize, or may withhold authorization for, such third-parties to delegate the voting rights of the ada owner to registered DReps on the owner's behalf. DReps are entitled to cast votes directly for on-chain governance actions and represent those ada owners delegating their voting rights to them. DRep voting thresholds are set forth in the Cardano Blockchain Guardrails Appendix.",-,FALSE,"The following is just a description of DRep, and there is no merit in including it. (If such an explanation were necessary for some reason, it should be included in the SPO Article, but it is not there.)

・Any owner of ada shall have the option to register as a DRep. Owners of ada shall be allowed to delegate their voting stake to one or more registered DReps, including themselves. DReps may be individuals or coordinated groups. 
・DReps are entitled to cast votes directly for on-chain governance actions and represent those ada owners delegating their voting rights to them. DRep voting thresholds are set forth in the Cardano Blockchain Guardrails Appendix.

It would be simpler to combine the following:

ARTICLE III Section 3
ARTICLE V Section 1 ""Owners of ada who use third-party custodians or other designees to hold their ada, may authorize, or may withhold authorization for, such third-parties to delegate the voting rights of the ada owner to registered DReps on the owner's behalf.""",OK
"This voting system shall enshrine a liquid democracy model where owners of ada can seamlessly select among DReps, register as a DRep, and withdraw or change their delegation at any time.",-,FALSE,There is no merit in restating the fluid democratic model.,OK
Section 3,Section 1,FALSE,,OK
"DReps who are representing delegators are expected to periodically adopt, and update as they deem appropriate, codes of conduct governing their activities as DReps and make such codes of conduct publicly available. DReps are encouraged to include ethical guidelines in their codes of conduct.","DReps who are representing delegators are expected to periodically adopt, and update as they deem appropriate, codes of conduct governing their activities as DReps and make such codes of conduct publicly available. DReps are encouraged to include ethical guidelines in their codes of conduct.",TRUE,,OK
Section 4,-,FALSE,,OK
"The Cardano Community is expected to support the creation, maintenance and ongoing administration of tools to enable owners of ada to explore and evaluate DRep candidates, access and evaluate DRep codes of conduct and select DReps on such criteria as they deem relevant.",-,FALSE,"ARTICLE V Section 4, ARTICLE VII Section 3, and Section 7, which state our expectations of the Cardano community, will be consolidated into ARTICLE III Section 6.",OK
Section 5,Section 2,FALSE,,OK
DReps who are representing delegators may be compensated for their efforts. DReps shall ensure that any compensation received in connection with their activities as a DRep is disclosed.,DReps who are representing delegators may be compensated for their efforts. DReps shall ensure that any compensation received in connection with their activities as a DRep is disclosed.,TRUE,,OK
Section 6,Section 3,FALSE,,OK
DReps shall not pay compensation to an ada owner or to an owner's designee in exchange for being appointed a DRep by such ada owner or by its designee or for voting on behalf of such ada owner or its designee.,DReps shall not pay compensation to an ada owner or to an owner's designee in exchange for being appointed a DRep by such ada owner or by its designee or for voting on behalf of such ada owner or its designee.,TRUE,,OK
ARTICLE VI. STAKE POOL OPERATORS,ARTICLE VI. STAKE POOL OPERATORS,TRUE,,OK
Section 1,Section 1,TRUE,,OK
"SPOs shall have a specific role in approving critical on-chain governance actions that require additional oversight and independence, voting separately and independently from DReps as set forth in the Cardano Blockchain Guardrails Appendix. SPOs shall participate in hard fork initiation processes as the operators of the nodes that participate in Cardano Blockchain's consensus mechanism.","SPOs vote on the following governance actions: ""Motion of no-confidence"", ""Update committee/threshold and/or term"", ""Hard-fork initiation"", and on ""Parameter Update"" governance actions that affect security-critical parameters set forth under Parameters that are Critical to the Operation of the Blockchain in Section 2.1 of the Cardano Blockchain Guardrails Appendix.",FALSE,"A brief explanation of the SPO voting items. To simplify things, we will combine Section2 with Section 1.",OK
Section 2,-,FALSE,,OK
"SPOs shall act as a check on the power of the Constitutional Committee under exceptional circumstances by separately voting on ""Motion of no confidence"" and ""Update committee/threshold and/or term"" governance actions, and on ""Parameter Update"" governance actions that affect security-critical parameters set forth under Parameters that are Critical to the Operation of the Blockchain in Section 2.1 of the Cardano Blockchain Guardrails Appendix.",-,FALSE,"To simplify things, we will combine it with Section 1.",OK
Section 3,Section 2,FALSE,,OK
"SPOs are encouraged to periodically adopt, and update as they deem appropriate, codes of conduct governing their activities as SPOs and make such codes of conduct publicly available. SPOs are encouraged to include ethical guidelines in their codes of conduct.","SPOs are encouraged to periodically adopt, and update as they deem appropriate, codes of conduct governing their activities as SPOs and make such codes of conduct publicly available. SPOs are encouraged to include ethical guidelines in their codes of conduct.",TRUE,,OK
Section 4,-,FALSE,,OK
Owners of ada who are both SPOs and acting as DReps shall publicly disclose that they are participating in on-chain governance actions in both such capacities prior to exercising any on-chain governance rights.,-,FALSE,The provisions of ARTICLE VII.Section 9 and ARTICLE VI Section 4 will be consolidated and set forth in ARTICLE III Section 2.,OK
ARTICLE VII. CONSTITUTIONAL COMMITTEE,ARTICLE VII. CONSTITUTIONAL COMMITTEE,TRUE,,OK
Section 1,Section 1,TRUE,,OK
"A Constitutional Committee shall be established as the branch of Cardano's on-chain governance process that ensures governance actions to be enacted on-chain are consistent with this Constitution. The Constitutional Committee shall comprise a set of owners of ada that is collectively responsible for ensuring that on-chain governance actions prior to enactment on-chain, are constitutional. Except as otherwise provided in Section 4 of this Article VII, the Constitutional Committee shall be limited to voting on the constitutionality of governance actions to be enacted on-chain. Constitutional Committee members are expected to have appropriate expertise to carry out their required responsibilities, considering their past contributions and involvement in the Cardano Blockchain ecosystem.","A Constitutional Committee shall be established as the branch of Cardano's on-chain governance process that ensures governance actions to be enacted on-chain are consistent with this Constitution. The Constitutional Committee shall comprise a set of owners of ada that is collectively responsible for ensuring that on-chain governance actions prior to enactment on-chain, are constitutional. Except as otherwise provided in Section 4 of this Article VII, the Constitutional Committee shall be limited to voting on the constitutionality of governance actions to be enacted on-chain. Constitutional Committee members are expected to have appropriate expertise to carry out their required responsibilities, considering their past contributions and involvement in the Cardano Blockchain ecosystem.",TRUE,,OK
Section 2,Section 2,TRUE,,OK
The Constitutional Committee shall be composed of such number of members sufficient to assure the ongoing integrity of the Cardano Blockchain as determined from time to time by owners of ada. The minimum and maximum number of members of the Constitutional Committee shall be consistent with the minimum and maximum number of members as set forth in the Cardano Blockchain Guardrails Appendix.,The Constitutional Committee shall be composed of such number of members sufficient to assure the ongoing integrity of the Cardano Blockchain as determined from time to time by owners of ada. The minimum and maximum number of members of the Constitutional Committee shall be consistent with the minimum and maximum number of members as set forth in the Cardano Blockchain Guardrails Appendix.,TRUE,,OK
